종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지(H)
069500,1,KODEX 200,31425,5,-155,-0.49,31510.0,-10.6016,2100418,65964,52118,국내 시장지수,KODEX,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,17125,5,-365,-2.09,17176.0,32.8018,6904743,119235,37908,해외 주식,TIGER,False,False,False
122630,3,KODEX 레버리지,14780,5,-150,-1.0,14837.0,-21.4418,20353741,300394,24128,국내 파생,KODEX,False,True,False
133690,4,TIGER 미국나스닥100,69990,5,-1230,-1.73,69796.0,-6.4225,99724,6986,20724,해외 주식,TIGER,False,False,False
102110,1,TIGER 200,31495,5,-150,-0.47,31576.0,-10.5467,820110,25811,20362,국내 시장지수,TIGER,False,False,False
252670,3,KODEX 200선물인버스2X,3190,2,30,0.95,3192.0,21.5384,138661549,443280,20272,국내 파생,KODEX,True,False,False
157450,6,TIGER 단기통안채,100965,5,-10,-0.01,100968.0,0.2482,144915,14632,17039,채권,TIGER,False,False,False
214980,6,KODEX 단기채권PLUS,103705,2,10,0.01,103710.0,-0.0145,768751,79723,16373,채권,KODEX,False,False,False
360750,4,TIGER 미국S&P500,12685,5,-190,-1.48,12653.0,-5.0447,1020622,12965,16364,해외 주식,TIGER,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,9490,5,-165,-1.71,9461.0,-3.1109,1115644,10602,13851,해외 주식,TIGER,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,102970,5,-180,-0.17,102943.0,0.3404,1561,160,13516,채권,KODEX,False,False,False
153130,6,KODEX 단기채권,103410,2,15,0.01,103411.0,0.1065,1531648,158387,13516,채권,KODEX,False,False,False
292150,2,TIGER TOP10,10410,5,-60,-0.57,10422.0,-9.2486,187421,1946,13351,국내 업종/테마,TIGER,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,10265,5,-190,-1.82,10234.0,-8.088,408691,4201,13252,해외 주식,TIGER,False,False,False
423160,7,KODEX KOFR금리액티브(합성),100400,2,5,0.0,100396.0,,6632,665,13248,기타,KODEX,False,False,False
102780,2,KODEX 삼성그룹,8285,5,-15,-0.18,8300.0,-7.1381,279669,2315,12983,국내 업종/테마,KODEX,False,False,False
305720,2,KODEX 2차전지산업,17455,2,100,0.58,17513.0,-12.8722,1423365,24764,12323,국내 업종/테마,KODEX,False,False,False
310970,1,TIGER MSCI Korea TR,12930,5,-50,-0.39,12940.0,-9.673,38,0,11973,국내 시장지수,TIGER,False,False,False
305540,2,TIGER 2차전지테마,17685,2,175,1.0,17722.0,-14.3347,910121,16013,11663,국내 업종/테마,TIGER,False,False,False
278530,1,KODEX 200TR,10460,5,-60,-0.57,10490.0,-10.6961,94021,983,10967,국내 시장지수,KODEX,False,False,False
148020,1,KBSTAR 200,31545,5,-150,-0.47,31633.0,-10.869,134758,4251,10615,국내 시장지수,KBSTAR,False,False,False
233740,3,KODEX 코스닥150레버리지,8545,2,70,0.83,8646.0,-25.3304,14756284,124973,9374,국내 파생,KODEX,False,True,False
114800,3,KODEX 인버스,4925,2,25,0.51,4925.0,10.9852,28677568,141280,9264,국내 파생,KODEX,True,False,False
139260,2,TIGER 200 IT,27995,5,-335,-1.18,28062.0,-12.1251,72496,2030,7139,국내 업종/테마,TIGER,False,False,False
091180,2,KODEX 자동차,18205,2,290,1.62,18246.0,-2.4769,686953,12438,6963,국내 업종/테마,KODEX,False,False,False
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),10440,5,-150,-1.42,10488.0,5.7942,121453,1275,6694,해외 주식,TIGER,False,False,False
152100,1,ARIRANG 200,31895,5,-135,-0.42,31974.0,-10.7701,77924,2485,6602,국내 시장지수,ARIRANG,False,False,False
229200,1,KODEX 코스닥150,11060,2,50,0.45,11196.0,-12.0116,3862300,42539,6420,국내 시장지수,KODEX,False,False,False
357870,7,TIGER CD금리투자KIS(합성),50970,3,0,0.0,50979.0,0.4236,0,0,6125,기타,TIGER,False,False,False
278540,1,KODEX MSCI Korea TR,10290,5,-45,-0.44,10304.0,-9.5801,197900,2029,6020,국내 시장지수,KODEX,False,False,False
293180,1,HANARO 200,31500,5,-175,-0.55,31587.0,-10.5605,71429,2250,5969,국내 시장지수,HANARO,False,False,False
105190,1,KINDEX 200,31510,5,-150,-0.47,31582.0,-10.618,86741,2730,5183,국내 시장지수,KINDEX,False,False,False
272580,6,TIGER 단기채권액티브,50525,3,0,0.0,50532.0,0.1784,1172,59,5017,채권,TIGER,False,False,False
196230,6,KBSTAR 단기통안채,105245,3,0,0.0,105239.0,0.2094,10349,1089,4989,채권,KBSTAR,False,False,False
360200,4,KINDEX 미국S&P500,12800,5,-170,-1.31,12759.0,-5.0443,62221,798,4966,해외 주식,KINDEX,False,False,False
294400,1,KOSEF 200TR,38050,5,-205,-0.54,38153.0,-10.6192,52630,2002,4813,국내 시장지수,KOSEF,False,False,False
251350,4,KODEX 선진국MSCI World,19310,5,-180,-0.92,19283.0,-6.478,8271,160,4461,해외 주식,KODEX,False,False,False
315930,2,KODEX Top5PlusTR,15460,5,-85,-0.55,15481.0,-9.7009,32116,496,4422,국내 업종/테마,KODEX,False,False,False
379800,4,KODEX 미국S&P500TR,11200,5,-140,-1.23,11159.0,-5.0649,185869,2083,4234,해외 주식,KODEX,False,False,False
251340,3,KODEX 코스닥150선물인버스,5025,5,-15,-0.3,5027.0,9.8039,29203379,147557,4166,국내 파생,KODEX,True,False,False
190620,6,KINDEX 단기통안채,100610,3,0,0.0,100603.0,0.2441,902,90,4122,채권,KINDEX,False,False,False
148070,6,KOSEF 국고채10년,111425,5,-180,-0.16,111462.0,1.4544,5674,632,4000,채권,KOSEF,False,False,False
385540,6,KBSTAR KIS종합채권(A-이상)액티브,95345,5,-160,-0.17,95296.0,0.7649,14,1,3988,채권,KBSTAR,False,False,False
367380,4,KINDEX 미국나스닥100,12025,5,-210,-1.72,11989.0,-6.3887,103415,1245,3932,해외 주식,KINDEX,False,False,False
364980,2,TIGER KRX2차전지K-뉴딜,12795,3,0,0.0,12819.0,-10.9232,584863,7505,3928,국내 업종/테마,TIGER,False,False,False
069660,1,KOSEF 200,31385,5,-175,-0.55,31475.0,-10.5924,9066,284,3907,국내 시장지수,KOSEF,False,False,False
314250,4,KODEX 미국FANG플러스(H),19830,5,-110,-0.55,19650.0,-15.4369,24163,476,3869,해외 주식,KODEX,False,False,True
371160,4,TIGER 차이나항셍테크,6520,5,-100,-1.51,6526.0,14.4338,482930,3162,3798,해외 주식,TIGER,False,False,False
329750,6,TIGER 미국달러단기채권액티브,11205,5,-55,-0.49,11203.0,6.7298,58823,660,3535,채권,TIGER,False,False,False
226490,1,KODEX 코스피,24020,5,-85,-0.35,24047.0,-11.2253,29929,718,3507,국내 시장지수,KODEX,False,False,False
