rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,64000,FALL,1200,0.018404908,,False
2,0,A102280,KR7102280005,쌍방울,916,RISE,56,0.0651162791,,False
3,0,A222080,KR7222080004,씨아이에스,17700,RISE,2150,0.1382636656,,False
4,0,A090710,KR7090710005,휴림로봇,4345,FALL,150,0.0333704116,,False
5,0,A035720,KR7035720002,카카오,80300,FALL,1000,0.012300123,,False
6,2,A373220,KR7373220003,LG에너지솔루션,415000,FALL,7500,0.0177514793,,False
7,-1,A014200,KR7014200000,광림,2475,FALL,90,0.0350877193,,False
8,0,A151860,KR7151860004,KG ETS,20200,RISE,1100,0.057591623,,True
9,0,A362320,KR7362320004,청담글로벌,13350,UPPER_LIMIT,3050,0.2961165049,,True
10,0,A005935,KR7005931001,삼성전자우,58800,FALL,700,0.0117647059,,True
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,64000,FALL,1200,0.018404908,,False
2,0,A102280,KR7102280005,쌍방울,894,RISE,34,0.0395348837,,False
3,0,A222080,KR7222080004,씨아이에스,17400,RISE,1850,0.1189710611,,False
4,0,A064350,KR7064350002,현대로템,22900,RISE,50,0.0021881838,,True
5,0,A035720,KR7035720002,카카오,80300,FALL,1000,0.012300123,,False
6,-2,A090710,KR7090710005,휴림로봇,4340,FALL,155,0.0344827586,,False
7,2,A362320,KR7362320004,청담글로벌,13350,UPPER_LIMIT,3050,0.2961165049,,False
8,0,A068270,KR7068270008,셀트리온,161500,FALL,4000,0.0241691843,,True
9,-3,A373220,KR7373220003,LG에너지솔루션,416000,FALL,6500,0.0153846154,,False
10,0,A247540,KR7247540008,에코프로비엠,506200,RISE,3400,0.0067621321,,True
